Continente,País,Consulado,Circ.Electoral,Local,Mesa,Mesas Fusionadas,Electores,Nro.voto,Opción Constitución Política,Votos TRICEL
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,3.0,3,337.0,1.0,APRUEBO,52.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,3.0,3,337.0,2.0,RECHAZO,27.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,3.0,3,337.0,900.0,VOTOS NULOS,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,3.0,3,337.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,4.0,4,164.0,1.0,APRUEBO,84.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,4.0,4,164.0,2.0,RECHAZO,11.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,4.0,4,164.0,900.0,VOTOS NULOS,0.0
AMERICA,BRASIL,CONSULADO GRAL.,SAO PAULO,CONSULADO,4.0,4,164.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,BRASIL,SECCIÓN CONSULAR,BRASILIA,CONSULADO,1.0,1,149.0,1.0,APRUEBO,47.0
AMERICA,BRASIL,SECCIÓN CONSULAR,BRASILIA,CONSULADO,1.0,1,149.0,2.0,RECHAZO,29.0
AMERICA,BRASIL,SECCIÓN CONSULAR,BRASILIA,CONSULADO,1.0,1,149.0,900.0,VOTOS NULOS,0.0
AMERICA,BRASIL,SECCIÓN CONSULAR,BRASILIA,CONSULADO,1.0,1,149.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,1.0,1-5,431.0,1.0,APRUEBO,203.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,1.0,1-5,431.0,2.0,RECHAZO,30.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,1.0,1-5,431.0,900.0,VOTOS NULOS,1.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,1.0,1-5,431.0,901.0,VOTOS EN BLANCO,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,2.0,2,347.0,1.0,APRUEBO,173.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,2.0,2,347.0,2.0,RECHAZO,19.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,2.0,2,347.0,900.0,VOTOS NULOS,0.0
AMERICA,CANADA,CONSULADO GRAL.,MONTREAL,LOCAL COMUNITARIO,2.0,2,347.0,901.0,VOTOS EN BLANCO,0.0
